name,email,advisor,classlevel,enrollmentid
Michael Murphy,michaelmurphy@github.com,Roy Ramirez,Fourth Year,694578
Catlin Snow,lecclesall1@etsy.com,Roy Ramirez,Freshman,458961
Cisco Ramon,sgoburn2@is.gd,Roy Ramirez,Second Year,755444
Harrison wells,fvallentine3@google.de,Roy Ramirez,Freshman,752147
Alma Reichert,apattingson4@disqus.com,Roy Ramirez,Fourth Year,452147
Taylor Keebler,mlightwing5@seesaa.net,Roy Ramirez,Fourth Year,412147
Stephen Hoppe Jr.,bgrigoliis6@washingtonpost.com,Roy Ramirez,Fourth Year,452148
Ramon Green,ebainbrigge7@webnode.com,Roy Ramirez,Fourth Year,452187
Viola Borer,zcarrel8@parallels.com,Roy Ramirez,Fourth Year,453147
Richard Halvorson,akillby9@a8.net,Roy Ramirez,Fourth Year,452347
